ADOPT,Adoption_1,Adoption_2,Adoption_3,AFFECT,Affect_1,Affect_2,Affect_3,Affect_4,Affect_5,Affect_6,AGE,AROUSAL,Arousal_1,Arousal_2,Arousal_3,Arousal_4,Arousal_5,Arousal_6,ATTITUDE,Attitude_1,Attitude_2,Attitude_3,Attitude_4,Browser,BrowserCode_Safari,BrowserCode_SafariIphone,BrowserVersion,Clicks_High,Clicks_Low,comm1,comm2,comm3,comm4,comm5,comm6,COMMENTBOX,COMMUNCATION,control1,control2,control3,control4,control5,CONTROL,COURSES,DOMINANCE,Dominance_1,Dominance_2,Dominance_3,Dominance_4,Dominance_5,Dominance_6,DURATION_BOOK,DURATION_SURVEY,EASE,Ease_1,Ease_2,Ease_3,Ease_4,education,efficacy1,efficacy2,efficacy3,EFFICACY,EndDate,FlashVersion,Hours_Dig,Hours_Int,Hours_Read,Income,INT_MANIP,INTLEVEL,involve1,involve2,involve3,involve4,INVOLVEMENT,IPAD,iPAD_D,IPAddress,Java,KINDLE,Kindle_D,know1,know2,Native,num_books,OperatingSystem,PERCINT,PLEASURE,Pleasure_1,Pleasure_2,Pleasure_3,Pleasure_4,Pleasure_5,Pleasure_6,PRIOR_KNOW,PU_PRINT,pup1,pup2,pup3,QualtricsID,RAttitude_1,RAttitude_2,RAttitude_3,RAttitude_4,READATTITUDE,Resolution,RISK,Risk_1,Risk_2,Risk_3,Risk_4,SEX,StartDate,StudyID,SurveyLength,SYNCH,Synchronic1,Synchronic2,Synchronic3,Synchronic4,Synchronic5,Think_Book,Think_Stud,TimeFirst_High,TimeFirst_Low,TimeLast_High,TimeLast_Low,TimeSubmit_High,TimeSubmit_Low,USEFUL,Usefulness_1,Usefulness_2,Usefulness_3,Usefulness_4,UserAgent,VIVID,Vividness_1,Vividness_2,Vividness_3,year_born,DigitalNative,INVOLVEMENT_Involvement_binned,PERCINT_Involvement_binned,READATTITUDE_Involvement_binned,RISK_Involvement_binned,INVOLVEMENT_bin,PERCINT_bin,READATTITUDE_bin,RISK_bin
5,5,5,5,5,5,5,5,5,5,5,48,5,5,5,5,5,5,5,5,5,5,5,5, ,0,0, , ,2,4,4,4,4,4,4, ,4,4,4,4,4,4,4,200,3,3,3,3,3,3,3,222.325,.5491667,4,4,4,4,4,3,4,4,4,4,11/29/2011, ,0,50,0,5,4,0,4,4,4,4,4,0,0,24.179.66.254, ,0,0,1,1,1,0, ,-1.06322028977778,5,5,5,5,5,5,5,1,4,4,4,4,R_ahQhpwKMUcMZAIk,5,5,5,5,5, ,4,4,4,4,4,0,11/29/2011,401,0:32:57,4,4,4,4,4,4,nothing,none, ,48.175, ,270.496, ,270.5,4,4,4,4,4, ,5,5,5,5,1963,0,1,1,1,2,1,1,1,2
1,1,1,1,1.83333333333333,1,1,3,2,2,2,45,3.5,4,1,4,4,4,4,6.5,6,6,7,7,MSIE,0,0,9,2, ,4,4,5,4,4,5,2,4.2,4,3,4,2,5,3.6,0,5,6,5,5,4,5,5,39.104,.20222223,6,5,7,6,6,3,1,1,1,1,11/29/2011,10.0.32.18,0,48,0,4,3,1,1,4,1,1,1.75,0,0,24.176.113.201,1,0,0,1,1,1,0,Windows NT 6.1,-.868775845333333,4.16666666666667,3,4,5,5,5,3,1,4,2,5,5,R_4OUdBpOWEr48u7q,6,6,6,6,6,1366x768,1.75,4,1,1,1,1,11/29/2011,87,0:12:07,5.2,5,5,5,6,5,it was ok,none,6.28, ,45.381, ,45.384, ,5,5,6,6,3,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; HPDTDF; .NET4.0C),5,5,5,5,1966,0,1,1,2,1,1,1,2,1
2,1,1,4,1.33333333333333,2,2,1,1,1,1,43,5,5,5,5,5,6,4,1,1,1,1,1,MSIE,0,0,9, ,2,2,2,3,2,4,4, ,2.6,4,6,6,6,1,4.6,12,3.83333333333333,2,4,4,4,4,5,72.11,.185,2.5,3,3,2,2,3,3,7,6,5.33333333333333,11/28/2011,11.1.102.55,5,15,15,6,2,0,2,5,3,3,3.25,0,0,108.84.68.45,1,0,0,2,3,1,10,Windows NT 6.1,-.785442512,2.66666666666667,2,2,2,4,4,2,2.5,5,6,4,5,R_9zai6cmOQcaF8c4,6,6,6,6,6,1920x1080,2,2,3,2,1,0,11/28/2011,356,0:11:05,5,5,5,5,5,5,"This book was poorly laid out, the text was too small and it the writng style was very amateurish.",No not at all., ,3.906, ,76.013, ,76.016,2,2,2,2,2,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; BRI/1; BRI/2),4.66666666666667,7,5,2,1968,0,1,1,2,1,1,1,2,1
7,7,7,7,6,7,4,7,7,4,7,63,3.33333333333333,2,2,4,4,4,4,6,6,6,6,6,MSIE,0,0,8, ,2,1,1,1,1,1,1, ,1,7,7,7,4,7,6.4,46,4,4,4,4,4,4,4,94.442,.39916667,6,6,6,6,6,3,5,4,4,4.33333333333333,11/29/2011,10.3.183.10,0,14,14,5,6,0,1,7,4,4,4,0,0,173.170.13.146,1,0,0,1,2,1,400,Windows NT 6.0,-.396553623111111,4.66666666666667,4,5,5,5,4,5,1.5,7,7,7,7,R_0ok2k6NbZwoHrPS,7,7,7,7,7,1280x800,1,1,1,1,1,1,11/29/2011,408,0:23:57,5.8,1,7,7,7,7,"I would love to have a dgital book. The price of the book needs to be low and there should be a way to trade in books no longer wanted. The digital book device needs to be affordable also, so everyone can have one.",It was an interesting study and I would like to be considered for any further ones. Thank you for the opportunity to participate, ,6.474, ,100.916, ,100.916,7,7,7,7,7,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; .NET CLR 3.5.30729; .NET4.0C; .NET CLR 3.0.30729),6,6,6,6,1948,0,1,1,2,1,1,1,2,1
1.33333333333333,1,1,2,1.16666666666667,2,1,1,1,1,1,48,1.66666666666667,1,1,2,2,2,2,7,7,7,7,7,MSIE,0,0,8, ,2,2,1,1,1,1,1, ,1.2,7,7,7,7,3,6.2,25,5.66666666666667,7,5,7,4,5,6,106.297,.20861112,6.75,6,7,7,7,4,1,1,1,1,11/28/2011,10.3.183.5,0,8,3,4,1,0,1,4,1,3,2.25,0,0,50.41.153.31,1,0,0,1,1,1,2,Windows NT 6.1,-.313220289777778,6,7,6,6,6,5,6,1,5.33333333333333,6,6,4,R_bygNW7HQjAGP8z2,7,7,7,7,7,1280x800,1,1,1,1,1,1,11/28/2011,334,0:12:31,6.2,6,6,6,6,7,"it was ok,, Ido not do digital books.. I do not have an ereader or a tablet.. I use print books",no, ,4.016, ,110.313, ,110.313,4.5,5,5,4,4,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; AskTB5.2),4,4,4,4,1963,0,1,1,2,1,1,1,2,1
2.66666666666667,3,2,3,4,4,3,2,5,5,5,61,4.16666666666667,4,3,5,6,5,2,2.75,2,4,3,2,MSIE,0,0,9, ,2,4,4,2,2,4,4, ,3.2,1,1,6,6,1,3,9,2.66666666666667,1,3,4,3,3,2,119.766,.5897222,2,1,3,2,2,3,7,7,6,6.66666666666667,11/29/2011,11.1.102.55,1,5,12,5,4,0,3,5,4,5,4.25,0,0,72.243.144.250,1,0,0,2,2,1,5,Windows NT 6.1,-1.56322028977778,2.33333333333333,3,2,3,3,2,1,2,6.33333333333333,6,7,6,R_89fIW8kj58geqG0,7,7,7,7,7,1192x670,1.5,1,2,2,1,1,11/28/2011,378,0:35:22,4.4,3,5,2,6,6,I didn't understand how to use it, , ,9.416, ,129.179, ,129.182,6.75,7,7,7,6,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; GACID=dfc_609826; LTID=609826; BRI/2),3,3,4,2,1950,0,1,1,2,1,1,1,2,1
7,7,7,7,4.83333333333333,6,4,6,4,4,5,59,4,4,4,4,4,4,4,6,6,6,6,6,Firefox,0,0,3.6, ,2,4,5,4,3,4,2, ,4,4,6,6,6,4,5.2,3,3,2,2,4,4,4,2,120.134,.62,6,6,6,6,6,3,7,7,7,7,11/28/2011,10.0.32,35,45,35,2,3,0,4,6,3,4,4.25,0,0,24.164.185.9,1,1,1,2,2,1,3,Windows NT 6.1,-1.00766473422222,4,4,4,4,4,4,4,2,6,6,6,6,R_1AAVr48KVqDs15q,7,7,7,7,7,1366x768,1,1,1,1,1,0,11/28/2011,300,0:37:11,4,4,3,3,4,6,to soon to tell,none, ,17.556, ,137.684, ,137.69,6,6,6,6,6,Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2) Gecko/20100115 YFF35 Firefox/3.6,5,4,5,6,1952,0,1,1,2,1,1,1,2,1
2,1,1,4,1.33333333333333,1,1,1,1,2,2,63,2.16666666666667,4,3,1,1,2,2,3.75,3,4,4,4,Firefox,0,0,8.0.1,2, ,4,2,2,4,4,4,2,3.2,4,5,6,5,2,4.4,25,2.83333333333333,2,2,5,4,2,2,130.271,.5152778,4,3,3,5,5,3,1,6,6,4.33333333333333,11/29/2011,10.3.183,10,30,15,1,4,1,3,5,2,4,3.5,0,0,74.66.249.189,1,1,1,1,1,1,3,Intel Mac OS X 10.6,-2.00766473422222,2,2,1,2,4,2,1,1,6.33333333333333,7,6,6,R_bCLZzOidRHo5xYw,7,7,7,7,7,1920x1080,3,5,4,2,1,0,11/28/2011,73,0:30:54,1.6,1,1,1,1,4,"It was unattractive and did not in any way feel like a ""book"". It was more like a poorly designed website. I like the ""idea"" of digital books more than the reality. Text on a screen, no matter how hard it tries, is not a BOOK.","Interesting, but the opening business about Australia was a confusing way to begin.",6, ,136.267, ,136.271, ,2.75,4,3,3,1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:8.0.1) Gecko/20100101 Firefox/8.0.1,2.66666666666667,4,3,1,1948,0,1,1,2,1,1,1,2,1
3.33333333333333,2,2,6,3.33333333333333,5,4,5,2,3,1,47,3.33333333333333,3,2,4,3,5,3,5.75,6,5,5,7,MSIE,0,0,9,2, ,1,1,5,4,4,4,2,3,3,5,7,5,3,4.6,40,3.33333333333333,4,3,4,4,3,2,141.382,.20638889,6,5,7,5,7,4,3,7,6,5.33333333333333,11/29/2011,11.1.102.55,2,4,4,6,6,1,3,3,2,3,2.75,0,0,67.81.135.33,1,0,0,3,3,1,0,Windows NT 6.1,-.785442512,5.5,4,5,6,5,6,7,3,4.66666666666667,6,4,4,R_e3g22JyQoqFhO5u,6,6,5,6,5.75,1680x1050,1.5,2,2,1,1,0,11/29/2011,104,0:12:23,6.2,6,6,6,6,7,It seemed to be very abbreviated in the information provided.  I expected more when I clicked on a hyperlinked word.,"This was interesting, good luck to you.  I hope my inputs helps.",5.984, ,147.365, ,147.366, ,5,5,5,5,5,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; MDDC; .NET CLR 1.1.4322; .NET4.0C; BRI/1; BRI/2),4.66666666666667,6,4,4,1964,0,1,1,2,1,1,1,2,1
7,7,7,7,6.5,7,7,7,6,6,6,54,4,2,2,5,4,6,5,7,7,7,7,7,MSIE,0,0,8, ,2,1,1,3,3,3,3, ,2.2,7,7,7,5,5,6.2,3,4.33333333333333,6,3,6,2,6,3,141.389,.33472222,7,7,7,7,7,3,6,7,7,6.66666666666667,11/29/2011,10.3.183.7,1,45,8,4,5,0,4,6,3,4,4.25,0,0,69.92.15.223,1,0,0,4,2,1,12,Windows NT 6.0,-.285442512,5.16666666666667,4,6,6,5,4,6,3,6.33333333333333,6,7,6,R_8H69FjV7AsUCRQE,7,7,7,7,7,1680x1050,1,1,1,1,1,1,11/29/2011,390,0:20:05,5.6,3,6,6,6,7,"It was a interesting book because it told about the people as well as the places , it was not your normal tourist book",No it just makes me wonder if the study is to find out how well marketing digital books is going to do, ,5.879, ,147.266, ,147.268,7,7,7,7,7,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; WOW64; Trident/4.0; GTB7.2; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; eSobiSubscriber 2.0.4.16; .NET CLR 3.5.30729; .NET4.0C; .NET CLR 3.0.30729),7,7,7,7,1957,0,1,1,2,1,1,1,2,1
4.33333333333333,4,4,5,3.16666666666667,5,2,4,1,1,6,35,3.16666666666667,1,1,3,3,7,4,4.75,5,5,4,5,MSIE,0,0,8, ,2,1,1,2,1,6,5, ,2.2,2,6,2,4,4,3.6,20,3.83333333333333,1,4,7,4,4,3,147.906,.4488889,5.25,5,6,5,5,3,7,7,7,7,12/6/2011,11.1.102.55,15,21,15,6,5,0,1,3,1,4,2.25,0,0,69.231.216.211,1,1,1,1,3,1,3,Windows NT 5.1,-1.50766473422222,5.16666666666667,6,5,4,5,4,7,2,5.33333333333333,5,6,5,R_eJt7ooOoYTfydI8,6,7,7,7,6.75,1024x768,1,1,1,1,1,0,12/6/2011,589,0:26:55,4.4,4,5,4,5,4,Digital books are fantastic. What I read from the book in this survey seemed somewhat informative.,"Some interested questions about my mood or state, I'm taking a survey. Should I feel happy or sad? No, I'm doing it for a reason.", ,8.719, ,156.625, ,156.625,3.75,6,5,1,3,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.0.3705; .NET CLR 1.1.4322; Media Center PC 3.1),4.33333333333333,5,5,3,1976,0,1,1,2,1,1,1,2,1
1.66666666666667,1,1,3,4.5,5,4,4,4,5,5,53,4.66666666666667,5,5,4,4,5,5,6.25,6,5,7,7,Chrome,0,0,15.0.874.121, ,2,1,1,5,1,1,1, ,1.8,5,6,7,5,7,6,20,4.33333333333333,5,4,5,4,4,4,152.756,.21083333,6.25,6,6,6,7,4,6,7,7,6.66666666666667,11/29/2011,11.1.102,5,22,15,2,1,0,5,6,4,2,4.25,0,0,67.86.20.43,1,0,0,5,5,1,14,WOW64,-.952109178666667,4.5,4,5,4,5,4,5,5,6.33333333333333,7,6,6,R_cJjyh7DNmKoQY3q,7,7,6,6,6.5,1920x1080,1.25,2,1,1,1,1,11/29/2011,379,0:12:39,5.8,4,6,6,6,7,"It was over-written, florid, sometimes silly, and filled with cliches about Australia. This is not a book written by a professional travel writer.",na, ,3.704, ,156.458, ,156.46,5,5,5,5,5,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2",6.33333333333333,6,6,7,1958,0,1,1,2,1,1,1,2,1
3.66666666666667,3,3,5,4.66666666666667,5,5,4,4,5,5,55,4,4,4,5,3,5,3,5,5,5,5,5,Firefox,0,0,8,2, ,4,5,4,4,5,4,2,4.4,4,5,5,4,5,4.6,5,4,4,4,4,4,4,4,164.023,.42944443,4.75,5,4,5,5,3,3,4,4,3.66666666666667,11/29/2011,10.1.53,10,14,30,2,5,1,5,5,4,4,4.5,0,0,72.196.150.70,1,0,0,4,4,1,2,rv:8.0,-.535442512,4.16666666666667,4,4,5,4,4,4,4,5.33333333333333,6,5,5,R_bmcu4KUeiKyDPXC,6,6,6,6,6,1440x900,2.75,3,3,3,2,0,11/29/2011,122,0:25:46,4.8,5,5,5,5,4,i prefer paper in my hands,n/a,6.142, ,170.156, ,170.165, ,4.75,5,5,4,5,Mozilla/5.0 (Windows NT 5.1; rv:8.0) Gecko/20100101 Firefox/8.0,5,5,5,5,1956,0,1,1,2,1,1,1,2,1
4.66666666666667,4,5,5,3.66666666666667,5,4,4,4,3,2,58,3.66666666666667,2,2,3,4,7,4,5.75,6,7,5,5,Firefox,0,0,8.0.1, ,2,2,1,5,1,1,1, ,2,5,3,5,2,1,3.2,18,1.83333333333333,1,1,3,3,2,1,164.875,.3375,5.75,6,6,4,7,4,7,7,7,7,11/29/2011,11.1.102,0,6,4,3,3,0,1,5,1,2,2.25,0,0,99.41.226.34,0,0,0,2,2,1,1,rv:8.0.1,-1.535442512,4.66666666666667,5,4,4,5,5,5,2,5.66666666666667,5,6,6,R_0cbG2IRaJy7wTU8,6,7,7,7,6.75,1024x768,1,1,1,1,1,0,11/29/2011,399,0:20:14,4.8,2,6,6,6,4,The book felt like an interactive tour guide of Australia., , ,11.18, ,176.052, ,176.055,5.75,5,6,6,6,Mozilla/5.0 (Windows NT 5.1; rv:8.0.1) Gecko/20100101 Firefox/8.0.1,3.33333333333333,4,3,3,1953,0,1,1,2,1,1,1,2,1
4,4,4,4,5.33333333333333,5,5,6,5,6,5,65,4.66666666666667,5,5,4,4,6,4,4.75,4,5,5,5,Firefox,0,0,8,2, ,2,1,1,4,1,2,2,1.8,7,6,7,6,6,6.4,36,3.5,3,3,4,4,4,3,241.867,.4775,6,6,6,6,6,4,4,6,6,5.33333333333333,11/28/2011,11.1.102,15,30,20,1,5,1,4,5,3,4,4,0,0,72.95.198.147,1,0,0,1,2,1,15,rv:8.0,-.757664734222222,5,4,4,5,6,4,7,1.5,5.33333333333333,5,5,6,R_6zXsL3IHj6a38fq,7,7,7,7,7,1400x1050,1.75,4,1,1,1,1,11/28/2011,42,0:28:39,4.2,4,5,4,4,4,"I prefer books made of paper. I like the feel of the pages, the smell of the ink, and the heft of the book in my hands. I don't want to use an e-reader.", ,6.788, ,248.641, ,248.655, ,6,6,6,6,6,Mozilla/5.0 (Windows NT 5.1; rv:8.0) Gecko/20100101 Firefox/8.0,6,6,6,6,1946,0,1,1,2,1,1,1,2,1
5,5,5,5,4.33333333333333,5,3,5,5,5,3,45,4.5,5,4,4,4,5,5,5.5,5,5,6,6,MSIE,0,0,8, ,2,1,1,1,1,1,1, ,1,6,6,5,4,5,5.2,37,3.66666666666667,4,3,4,4,4,3,415.105,.3525,6,6,6,6,6,4,6,6,6,6,11/28/2011,11.1.102.55,5,10,6,6,1,0,3,4,4,4,3.75,0,0,68.205.153.53,1,0,0,4,4,1,5,Windows NT 6.0,-1.285442512,4.66666666666667,4,5,5,5,4,5,4,6,6,6,6,R_08vefdt8FpPP2tu,7,7,7,7,7,1280x800,1,1,1,1,1,0,11/28/2011,363,0:21:08,4,1,5,5,5,4,Good source of information about Australia.  More like a tourist guide.,no, ,8.222, ,423.325, ,423.327,7,7,7,7,7,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; WOW64; Trident/4.0; GTB7.1; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; .NET CLR 3.5.21022; InfoPath.2; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C),6,6,6,6,1966,0,1,1,2,1,1,1,2,1
1,1,1,1,4.5,5,5,6,4,4,3,57,3.83333333333333,4,3,4,4,4,4,6,6,6,6,6,Firefox,0,0,8.0.1, ,2,5,1,6,4,1,2, ,3.4,6,7,5,5,3,5.2,5,3,4,2,4,2,4,2,720.357,.56583333,6,7,7,4,6,3,4,6,4,4.66666666666667,11/28/2011,11.1.102,0,30,1,6,4,0,3,4,2,4,3.25,0,0,68.81.253.178,1,0,0,1,3,1,0,rv:8.0.1,-.618775845333333,4.5,5,6,5,5,3,3,2,5,5,5,5,R_eEtIGN7nsGc8hIU,5,6,7,7,6.25,1280x1024,1,1,1,1,1,0,11/28/2011,354,0:33:57,4,1,3,5,5,6,Well informed information about Australia.  Very impressive.,no, ,8.376, ,728.723, ,728.733,6.25,6,7,6,6,Mozilla/5.0 (Windows NT 5.0; rv:8.0.1) Gecko/20100101 Firefox/8.0.1,6.33333333333333,7,5,7,1954,0,1,1,2,1,1,1,2,1
3,2,2,5,3.83333333333333,5,3,4,4,4,3,56,4,4,4,3,5,4,4,5,5,5,5,5,Firefox,0,0,8.0.1, ,2,2,2,4,4,4,4, ,3.2,5,5,5,5,5,5,60,3.66666666666667,4,4,4,4,3,3,733.339,.43166667,4.75,5,5,4,5,4,2,4,2,2.66666666666667,12/2/2011,11.0.1,6,14,15,3,4,0,3,6,4,4,4.25,0,0,184.58.96.89,1,0,0,2,2,1,20,WOW64,-.840998067555556,3.33333333333333,4,3,3,3,4,3,2,6,6,6,6,R_0jQhE4kaOlEwuRS,7,7,7,7,7,1280x1024,3,3,3,3,3,1,12/2/2011,577,0:25:53,4.4,4,4,5,5,4,I CAN'T CONCENTRATE VERY WELL,A GOOD STUDY, ,5.07, ,738.404, ,738.409,5,5,5,5,5,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:8.0.1) Gecko/20100101 Firefox/8.0.1,5,6,4,5,1955,0,1,1,2,1,1,1,2,1
6.33333333333333,7,6,6,4.83333333333333,6,4,5,5,4,5,40,4.83333333333333,5,4,5,5,6,4,5.25,5,5,5,6,MSIE,0,0,8,2, ,3,3,6,5,6,3,2,4.6,3,5,6,4,2,4,5,3.5,3,3,5,4,3,3,36.67,.2188889,5.5,6,4,6,6,3,6,7,7,6.66666666666667,11/28/2011,11.1.102.55,2,10,5,3,4,1,5,5,4,5,4.75,1,1,75.24.125.153,1,1,1,1,1,1,3,Windows NT 6.1,-1.45210917866667,5,4,5,5,5,6,5,1,6.66666666666667,6,7,7,R_cT8hh5pvE9XXZrK,7,7,7,7,7,1280x720,1,1,1,1,1,0,11/28/2011,2,0:13:08,3.8,5,4,3,3,4,it was very interesting,none,8.065, ,44.735, ,44.735, ,7,7,7,7,7,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; GTB7.1; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; HPNTDF; .NET4.0C; BRI/1; AskTbFWV5/5.13.0.17701; Zune 4.7),3.33333333333333,4,3,3,1971,0,2,1,2,1,2,1,2,1
5,6,4,5,5.33333333333333,6,5,5,5,6,5,64,4.16666666666667,4,4,4,4,4,5,4,4,4,4,4, ,0,0, , ,2,4,2,2,2,1,1, ,2.2,3,7,5,1,1,3.4,15,4.16666666666667,4,5,4,4,4,4,64.34,.3686111,4.75,5,6,4,4,3,7,7,7,7,11/29/2011, ,12,30,7,4,4,0,6,6,4,6,5.5,1,1,24.94.233.231, ,0,0,1,5,1,0, ,-1.64655362311111,4,4,4,4,4,4,4,3,4.66666666666667,5,5,4,R_9GjNd3Xcd4VSlAU,6,6,4,5,5.25, ,3,2,3,1,6,0,11/29/2011,380,0:22:07,4,1,4,4,5,6,I find that digital books can be downloaded and read in a later day.,"I often order digital products online because I have a website that sales digital products online form Amazon, Clickbank.", ,5.52, ,69.844, ,69.86,5.75,7,6,6,4, ,6.66666666666667,6,7,7,1947,0,2,1,2,1,2,1,2,1
1,1,1,1,5.5,7,4,7,4,4,7,53,4.33333333333333,5,5,4,4,4,4,4.75,4,6,4,5,MSIE,0,0,8, ,2,4,4,4,4,4,4, ,4,7,7,7,4,6,6.2,50,4.5,4,4,7,4,4,4,107.262,.19416666,4.75,3,6,6,4,4,2,7,6,5,11/29/2011,11.1.102.55,0,20,7,1,4,0,6,7,6,6,6.25,0,0,167.199.234.30,1,0,0,4,4,1,12,Windows NT 5.1,-.396553623111111,4,4,4,4,4,4,4,4,7,7,7,7,R_2fRj4DjNJWEn8XO,7,7,7,7,7,1280x1024,1,1,1,1,1,0,11/29/2011,403,0:11:38,4,4,4,4,4,4,"they break down, have to hvexspecial devices, more hassle than they are worth", , ,4.376, ,111.638, ,111.638,6,6,6,6,6,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; FCTB100275; (R1 1.6); .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; InfoPath.2; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET4.0C; .NET4.0E; AskTbORJ/5.13.1.18107),4.66666666666667,5,5,4,1958,0,2,1,2,1,2,1,2,1
7,7,7,7,5.66666666666667,7,6,6,6,6,3,57,5,7,7,4,2,4,6,7,7,7,7,7,Firefox,0,0,8, ,2,1,1,6,2,2,1, ,2.4,7,7,6,6,6,6.4,15,4.33333333333333,4,4,6,4,4,4,114.113,.38333333,6.5,6,6,7,7,3,6,7,7,6.66666666666667,11/29/2011,11.1.102,1,30,6,4,4,0,5,7,5,5,5.5,1,1,97.117.155.245,1,0,0,3,3,1,1,rv:8.0,-.424331400888889,6.33333333333333,7,6,6,6,7,6,3,6,6,6,6,R_diISAoxZoJkf4So,6,6,6,7,6.25,1440x900,1,1,1,1,1,0,11/29/2011,413,0:23:00,5.6,4,6,6,6,6,quick and easy,no, ,10.401, ,124.511, ,124.514,7,7,7,7,7,Mozilla/5.0 (Windows NT 5.1; rv:8.0) Gecko/20100101 Firefox/8.0,7,7,7,7,1954,0,2,1,2,1,2,1,2,1
3.33333333333333,3,3,4,3.5,5,2,2,3,4,5,32,3.33333333333333,2,2,4,4,5,3,5.75,6,6,6,5,Firefox,0,0,3.0.14, ,2,3,1,7,1,2,1, ,2.8,7,6,7,4,3,5.4,40,4.16666666666667,5,4,6,4,4,2,136.808,.7558333,6,6,6,6,6,4,6,7,6,6.33333333333333,12/6/2011,10.1.85,15,45,20,6,2,0,4,7,4,4,4.75,0,0,152.3.244.180,1,0,0,3,2,1,15,Windows NT 5.1,-.785442512,5,5,5,5,5,4,6,2.5,6,7,6,5,R_40HHxQ6V0okqebi,7,7,7,7,7,1440x900,1,1,1,1,1,0,12/6/2011,591,0:45:20,5.8,6,5,6,6,6,It was a web page...not really a digital book.,"I would suggest making your ""digital book"" seem more like a book.  I've read digital magazines that are scanned images and get to turn pages.  Not clicking links.", ,13.699, ,150.504, ,150.507,6,7,6,5,6,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.14) Gecko/2009082707 Firefox/3.0.14 FBSMTWB,5.66666666666667,6,5,6,1979,0,2,1,2,1,2,1,2,1
4.33333333333333,4,4,5,6,6,6,6,7,6,5,59,4.83333333333333,5,5,4,4,5,6,5.5,6,5,5,6,Safari,1,0,5.0.5, ,2,3,2,1,1,1,1, ,1.6,7,6,5,3,3,4.8,50,3.5,4,3,5,3,3,3,153.327,.4375,3.5,4,4,3,3,4,1,1,1,1,11/28/2011,10.3.183,25,35,30,6,4,0,4,7,5,5,5.25,0,0,173.23.74.17,1,0,0,1,1,1,4,Intel Mac OS X 10_5_8,-1.36877584533333,6.16666666666667,6,6,6,6,6,7,1,6.66666666666667,7,7,6,R_7QAPxLtX2r0GkWU,7,7,7,7,7,1680x1050,1,1,1,1,1,0,11/28/2011,347,0:26:14,3.6,1,4,4,4,5,nice,no, ,46.91, ,200.233, ,200.237,5,5,5,5,5,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_8; en-us) AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1",5.66666666666667,7,6,4,1952,0,2,1,2,1,2,1,2,1
